Cve. Materia,Materia,Clave de Grupo,Tipo Grupo,Modalidad,Docente,Campus,Salón,Horario
ARQ-9130-09,INSTRUMENTOS DE REP. POR COMPUTADORA I,I,Teoria,Presencial,BERMUDEZ GUERRERO ESTEFANIA,CU,107-D4-215,Lunes 14:00-16:00
ARQ-9130-09,INSTRUMENTOS DE REP. POR COMPUTADORA I,I-L1,Laboratorio,Presencial,BERMUDEZ GUERRERO ESTEFANIA,CU,107-D4-215,Miércoles 14:00-16:00
ARQ-9131-09,INSTRUMENTOS DE REPRESENTACION DE MAQUETAS,E,Teoria,Presencial,MONTES PORRAS MIGUEL,CU,107-D2-105,Viernes 8:00-10:00
ARQ-9131-09,INSTRUMENTOS DE REPRESENTACION DE MAQUETAS,E-L1,Laboratorio,Presencial,MONTES PORRAS MIGUEL,CU,107-D2-105,Viernes 10:00-12:00
ARQ-9131-09,INSTRUMENTOS DE REPRESENTACION DE MAQUETAS,F,Teoria,Presencial,MONTES PORRAS MIGUEL,CU,107-D2-105,Lunes 8:00-10:00
ARQ-9131-09,INSTRUMENTOS DE REPRESENTACION DE MAQUETAS,F-L1,Laboratorio,Presencial,MONTES PORRAS MIGUEL,CU,107-D2-105,Miércoles 8:00-10:00
ARQ-9131-09,INSTRUMENTOS DE REPRESENTACION DE MAQUETAS,G,Teoria,Presencial,MONTES PORRAS MIGUEL,CU,107-D2-105,Lunes 10:00-12:00
ARQ-9131-09,INSTRUMENTOS DE REPRESENTACION DE MAQUETAS,G-L1,Laboratorio,Presencial,MONTES PORRAS MIGUEL,CU,107-D2-105,Miércoles 10:00-12:00
ARQ-9132-09,HISTORIA CRITICA DE LA ARQUITECTURA I,D,Teoria,Presencial,PACHECO ESPINOZA JOSE ALEJANDRO,CU,107-B-109,Martes 8:00-10:00
ARQ-9132-09,HISTORIA CRITICA DE LA ARQUITECTURA I,D-L1,Laboratorio,Presencial,PACHECO ESPINOZA JOSE ALEJANDRO,CU,107-B-109,Jueves 8:00-10:00
ARQ-9133-09,TALLER DE ARQUITECTURA I,D,Teoria,Presencial,ORDOÑEZ HERNANDEZ GUILLERMO,CU,107-B-110,Lunes 8:00-11:00
ARQ-9133-09,TALLER DE ARQUITECTURA I,D-L1,Laboratorio,Presencial,ORDOÑEZ HERNANDEZ GUILLERMO,CU,107-B-110,"Miércoles 8:00-11:00, Viernes 8:00-11:00"
ARQ-9133-09,TALLER DE ARQUITECTURA I,E,Teoria,Presencial,SOLIS SOTELO CARLOS,CU,107-B-110,Lunes 14:00-17:00
ARQ-9133-09,TALLER DE ARQUITECTURA I,E-L1,Laboratorio,Presencial,SOLIS SOTELO CARLOS,CU,107-B-110,"Miércoles 14:00-17:00, Viernes 14:00-17:00"
ARQ-9134-09,NARRATIVA ARQUITECTONICA,D,Teoria,Presencial,HERRERA TERRAZAS LUIS,CU,107-B-116,Martes 12:00-14:00
ARQ-9134-09,NARRATIVA ARQUITECTONICA,D-L1,Laboratorio,Presencial,HERRERA TERRAZAS LUIS,CU,107-B-116,Jueves 12:00-14:00
ARQ-9135-09,TALLER DE ESTRUCTURAS ARQUITECTONICAS II,D,Teoria,Presencial,,CU,107-B-110,"Martes 10:00-12:00, Jueves 10:00-12:00"
ARQ-9136-09,INSTRUMENTOS DE REP. POR COMPUTADORA II,D,Teoria,Presencial,BERMUDEZ GUERRERO ESTEFANIA,CU,107-D4-215,Lunes 12:00-14:00
ARQ-9136-09,INSTRUMENTOS DE REP. POR COMPUTADORA II,D-L1,Laboratorio,Presencial,BERMUDEZ GUERRERO ESTEFANIA,CU,107-D4-215,Miércoles 12:00-14:00
ART-1304-09,HISTORIA DEL ARTE,D,Teoria,Presencial,,CU,107,Sábado 9:00-11:00
ART-1304-09,HISTORIA DEL ARTE,E-L1,Laboratorio,Presencial,,CU,107,Sábado 11:00-13:00
DIS-1202-97,TECNICAS DE REPRESENTACION,B-L1,Laboratorio,Presencial,PONCE ACEVEDO RIGOBERTO,CU,107-D2-105,"Lunes 12:00-14:00, Miércoles 12:00-14:00, Viernes 12:00-14:00"
DIS-1202-97,TECNICAS DE REPRESENTACION,C-L1,Laboratorio,Presencial,PONCE ACEVEDO RIGOBERTO,CU,107-D2-105,"Lunes 14:00-16:00, Miércoles 14:00-16:00, Viernes 14:00-16:00"
DIS-1405-00,HISTORIA DEL DISEÑO GRAFICO,D,Teoria,Presencial,CORDOVA ORTEGA DANIELA GUADALUPE,CU,107-B-101-b,Martes 8:00-10:00
DIS-1405-00,HISTORIA DEL DISEÑO GRAFICO,D-L1,Laboratorio,Presencial,CORDOVA ORTEGA DANIELA GUADALUPE,CU,107-B-101-b,Jueves 8:00-10:00
